Metabolites,Antimetabolites category,Patient 2556,Patient 2766,Patient 2177,Patient 3196,Patient 3477,Patient 2280,,
"(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA",Discarded fat content,1,1,1,1,1,1,,
(9E)-octadecenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
(9E)-tetradecenoic acid,Discarded fat content,1,1,1,1,1,1,,
(9E)-tetradecenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
"(9Z,12Z,15Z,18Z)-TTA",Discarded fat content,1,1,1,1,1,1,,
"(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA",Discarded fat content,1,1,1,1,1,1,,
"(9Z,12Z,15Z,18Z,21Z)-TPA",Discarded fat content,1,1,1,1,1,1,,
"(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA",Discarded fat content,1,1,1,1,1,1,,
(S)-3-hydroxy-7-hexadecenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
(S)-3-hydroxybutyryl-CoA,Discarded fat content,1,1,1,1,1,1,,
(S)-3-hydroxydodecanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
(S)-3-hydroxyhexadecanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
(S)-3-hydroxyoleyleoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
(S)-3-hydroxypalmitoleoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
(S)-3-hydroxytetradecanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
(S)-hydroxydecanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
(S)-hydroxyhexanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
(S)-hydroxyoctanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
"1,2-diacylglycerol-LD-PC pool",Discarded fat content,1,1,1,1,1,1,,
"1,2-diacylglycerol-LD-SM pool",Discarded fat content,0,0,0,0,0,1,,
"1,2-diacylglycerol-LD-TAG pool",Discarded fat content,1,1,1,1,1,1,,
1-acylglycerol-3P-CL pool,Discarded fat content,1,1,1,1,1,1,,
1-acylglycerol-3P-LD-PC pool,Discarded fat content,1,1,1,1,1,1,,
1-acylglycerol-3P-LD-PI pool,Discarded fat content,1,1,1,1,1,1,,
1-acylglycerol-3P-LD-SM pool,Discarded fat content,0,0,0,0,0,1,,
1-acylglycerol-LD-SM pool,Discarded fat content,0,0,0,0,0,1,,
1-acylglycerol-LD-TG1 pool,Discarded fat content,1,0,1,1,0,1,,
"10,13,16,19-docosatetraenoic acid",Discarded fat content,1,1,1,1,1,1,,
"10,13,16,19-docosatetraenoyl-CoA",Discarded fat content,1,1,1,1,1,1,,
"10,13,16-docosatrienoyl-CoA",Discarded fat content,1,1,1,1,1,1,,
"10,13,16-docosatriynoic acid",Discarded fat content,1,1,1,1,1,1,,
"12,15,18,21-tetracosatetraenoic acid",Discarded fat content,1,1,1,1,1,1,,
"12,15,18,21-tetracosatetraenoyl-CoA",Discarded fat content,1,1,1,1,1,1,,
"13,16,19-docosatrienoic acid",Discarded fat content,1,1,1,1,1,1,,
"13,16,19-docosatrienoyl-CoA",Discarded fat content,1,1,1,1,1,1,,
2-lysolecithin pool,Discarded fat content,1,1,1,1,1,1,,
2-oxobutyrate,Discarded fat content,1,1,1,1,1,1,,
3(S)-hydroxy-11-cis-eicosenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3(S)-hydroxy-13-cis-docosenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
"3(S)-hydroxy-all-cis-8,11,14,17-eicosatetraenoyl-CoA",Discarded fat content,1,1,1,1,1,1,,
3(S)-hydroxy-cis-15-tetracosaenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3(S)-hydroxy-dihomo-gamma-linolenoyl-CoA,Discarded fat content,1,0,1,0,0,0,,
3-hydroxydocosanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-hydroxyeicosanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
