"","Gene","Tissue","Cell.type","Level","Expression.type","Reliability","Canc.Level.50","Canc.Level.75","Canc.Level.90","Canc.Level.100"
"1207104","ENSG00000204866","liver","hepatocytes","Present","APE","Uncertain","Present",NA,NA,NA
"1207184","ENSG00000204869","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"1207265","ENSG00000204873","liver","hepatocytes","Not detected","APE","Uncertain","Present",NA,NA,NA
"1207345","ENSG00000204889","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"1207426","ENSG00000204897","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"1207507","ENSG00000204904","liver","hepatocytes","Not detected","APE","Uncertain","Not detected",NA,NA,NA
"1207586","ENSG00000204909","liver","hepatocytes","Present","APE","Uncertain","Present","Present",NA,NA
"1207667","ENSG00000204918","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"1207748","ENSG00000204919","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"1207829","ENSG00000204920","liver","hepatocytes","Not detected","APE","Uncertain","Not detected",NA,NA,NA
"1207905","ENSG00000204922","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present",NA
"1207986","ENSG00000204923","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"1208065","ENSG00000204928","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"1208145","ENSG00000204930","liver","hepatocytes","Present","APE","Uncertain","Present","Present",NA,NA
"1208227","ENSG00000204941","liver","hepatocytes","Present","APE","Uncertain","Not detected",NA,NA,NA
"1208305","ENSG00000204946","liver","hepatocytes","Present","APE","Uncertain","Not detected",NA,NA,NA
"1208385","ENSG00000204947","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected",NA
"1208458","ENSG00000204950","liver","hepatocytes","Present","APE","Uncertain","Not detected","Not detected","Not detected",NA
"1208539","ENSG00000204952","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
